id,address,area,room,bathroom,garage,amenities,price,condo
2503947183,"Rua Camillo Nader, 175 - Morumbi, São Paulo - SP",125,3,3,2,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Aceita animais",R$ 2.500 /mês,R$ 1.900
2513325384,"Rua Castilho, 155 - Brooklin, São Paulo - SP",47,1,1,1,"Piscina
Varanda
Academia
Churrasqueira
Elevador",R$ 3.000 /mês,R$ 536
2518566324,"Rua Galvão Bueno, 499 - Liberdade, São Paulo - SP",79,3,2,2,"Piscina
Academia
Churrasqueira
Condomínio fechado
Jardim",R$ 2.800 /mês,R$ 570
2514512677,"Rua Tabapuã, 245 - Itaim Bibi, São Paulo - SP",210,4,4,2,"Piscina
Academia
Ar-condicionado
Elevador
Condomínio fechado",R$ 9.300 /mês,R$ 2.379
2512010408,"Rua Brigadeiro Galvão, 127 - Barra Funda, São Paulo - SP",46,1,1,1,"Mobiliado
Piscina
Academia
Churrasqueira
Condomínio fechado",R$ 2.100 /mês,R$ 740
2518583346,"Rua Luís Correia de Melo, 250 - Vila Cruzeiro, São Paulo - SP",41,1,1,1,"Mobiliado
Piscina
Academia
Churrasqueira
Elevador",R$ 2.500 /mês,R$ 370
2512779319,"Rua Tabapuã, 1554 - Itaim Bibi, São Paulo - SP",350,3,5,3,"Mobiliado
Piscina
Academia
Churrasqueira
Elevador",R$ 23.000 /mês,R$ 7.000
2519475687,"Rua Paraná, 137 - Brás, São Paulo - SP",46,1,1,1,"Piscina
Varanda gourmet
Academia
Churrasqueira
Elevador",R$ 1.550 /mês,R$ 431
2512663008,"Rua Fradique Coutinho, 980 - Vila Madalena, São Paulo - SP",30,1,1,1,"Mobiliado
Piscina
Academia
Ar-condicionado
Elevador",R$ 3.500 /mês,R$ 431
2516270795,"Rua Luís Correia de Melo, 86 - Vila Cruzeiro, São Paulo - SP",40,1,1,1,"Mobiliado
Piscina
Academia
Elevador
Condomínio fechado",R$ 1.900 /mês,R$ 580
2511715796,"Rua Eça de Queiroz, 720 - Vila Mariana, São Paulo - SP",51,1,1,--,"Mobiliado
Academia
Churrasqueira
Elevador
Aceita animais",R$ 2.790 /mês,R$ 350
2516803512,"Rua Augusta, 1104 - Consolação, São Paulo - SP",117,2,2,--,"Ar-condicionado
Aceita animais
Portaria 24h",R$ 1.999 /mês,R$ 979
2518792674,"Rua Tupi, 103 - Santa Cecília, São Paulo - SP",60,2,2,1,"Piscina
Academia
Churrasqueira
Elevador
Aceita animais",R$ 2.500 /mês,R$ 816
2513256381,"Rua Pageú, 100 - Vila Mariana, São Paulo - SP",100,3,4,3,"Piscina
Elevador
Aceita animais
Jardim
Playground",R$ 3.600 /mês,R$ 1.406
